"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [C]","Temperatura Ambiente [C]"
"16/04/2020","9:30","8,83","154,14","22,39","17,12729545"
"16/04/2020","9:35","9,02","152,04","21,27","16,47990909"
"16/04/2020","9:40","6,92","116,05","20,5","16,14084773"
"16/04/2020","9:45","6,62","110,34","19,83","15,31644091"
"16/04/2020","9:50","7,2","118,16","19,88","15,21023864"
"16/04/2020","9:55","8,7","140,6","20,53","15,33206591"
"16/04/2020","10:00","15,17","259,73","21,88","15,56873182"
"16/04/2020","10:05","34,51","591,9","30,71","15,81426818"
"16/04/2020","10:10","49,08","887,59","38,05","16,12219091"
"16/04/2020","10:15","48,48","899,03","45,81","16,74806818"
"16/04/2020","10:20","51,38","944,49","49,96","17,34544318"
"16/04/2020","10:25","53,46","993,73","52,28","17,05339545"
"16/04/2020","10:30","54,35","1000,32","51,54","17,69168409"
"16/04/2020","10:35","49,51","927,83","50,27","18,12713182"
"16/04/2020","10:40","43,43","843,12","50,53","18,845"
"16/04/2020","10:45","44,16","821,51","49,31","20,33197727"
"16/04/2020","10:50","58,32","1076,37","47,73","21,53651364"
"16/04/2020","10:55","45,23","825,54","47,29","22,51252273"
"16/04/2020","11:00","56,64","1040,21","50,07","23,20305455"
"16/04/2020","11:05","59,68","1109,85","53,17","23,51941818"
"16/04/2020","11:10","37,91","679,13","55,02","23,41807955"
"16/04/2020","11:15","23,65","391,57","45,24","23,52328182"
"16/04/2020","11:20","15,31","257,85","39,1","24,42994091"
"16/04/2020","11:25","14,66","248,14","34,69","24,43692045"
"16/04/2020","11:30","16,56","275,83","32,56","24,84869318"
"16/04/2020","11:35","19,07","314,65","32,24","24,87335682"
"16/04/2020","11:40","12,89","212,98","30,69","23,88060909"
"16/04/2020","11:45","12,89","212,27","29,62","23,22885"
"16/04/2020","11:50","16,87","278,87","29,6","23,1841"
"16/04/2020","11:55","19,82","327,61","31,44","23,02499545"
"16/04/2020","12:00","36,72","621,81","37,58","22,97471591"
"16/04/2020","12:05","33,07","564,06","40,36","22,29213182"
"16/04/2020","12:10","33,25","591,55","44,57","22,0773"
"16/04/2020","12:15","16,76","287,15","39,56","21,60739091"
"16/04/2020","12:20","14,52","244,76","32,83","20,91974091"
"16/04/2020","12:25","13,96","232,54","30,6","21,31264773"
"16/04/2020","12:30","29,81","496,14","30,63","22,05577273"
"16/04/2020","12:35","22,45","350","32,78","22,13375682"
"16/04/2020","12:40","26,15","401,47","30,6","21,90628864"
"16/04/2020","12:45","43,54","718,69","36,33","20,92264773"
"16/04/2020","12:50","18,97","296,78","34,76","20,04320909"
"16/04/2020","12:55","12,76","177,06","31,3","19,53600682"
"16/04/2020","13:00","10,74","161,05","28,12","19,97850909"
"16/04/2020","13:05","7,76","109,77","26,41","19,78214091"
"16/04/2020","13:10","10,27","144,69","24,11","19,86373864"
"16/04/2020","13:15","20,92","324,57","25,75","20,43045909"
"16/04/2020","13:20","16,21","258,67","25,87","19,80507045"
"16/04/2020","13:25","10,96","154,37","24,39","19,14495227"
"16/04/2020","13:30","6,35","91,54","22,22","18,65058409"
"16/04/2020","13:35","5,66","94,16","21,51","18,29828182"
"16/04/2020","13:40","2,83","47,8","20,76","18,22900682"
"16/04/2020","13:45","4,12","64,45","20,33","18,374525"
"16/04/2020","13:50","5,28","77,1","20,79","18,15664318"
"16/04/2020","13:55","9,67","152,99","22,42","17,57923636"
